question_id,category,prompt
41,fermi,How many times does the average human blink in a lifetime? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
42,fermi,How many atoms are in a grain of salt? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
43,fermi,How many lightning strikes occur on Earth each day? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
44,fermi,"How many balloons would it take to lift a house like in the movie ""Up""? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step."
45,fermi,How many text messages are sent globally in a minute? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
46,fermi,How many words are spoken daily on Earth? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
47,fermi,How many snowflakes fall during a typical winter? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
48,fermi,How many pages are in all the books ever written? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
49,fermi,How many times has the Earth orbited the Sun since the beginning of life? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
50,fermi,How many songs have been recorded throughout history? Try to explain your answer. Your explanation should take the reader through your reasoning step-by-step.
51,counterfactual,What if the Internet had been invented during the Renaissance period?
52,counterfactual,What if the Aztecs had successfully repelled the Spanish conquistadors?
53,counterfactual,What if the Black Death had not occurred in the 14th century?
54,counterfactual,What if Isaac Newton had focused on biology instead of physics?
55,counterfactual,What if the Beatles had never formed as a band?
56,counterfactual,What if Alan Turing had not cracked the Enigma code during World War II?
57,counterfactual,What if the Suez Canal had never been constructed?
58,counterfactual,What if the Maya civilization had never mysteriously collapsed?
59,counterfactual,What if Christopher Columbus had not discovered the Americas?
60,counterfactual,What if Vincent van Gogh had been a successful artist during his lifetime?
61,coding,Develop a C++ program that reads a text file line by line and counts the number of occurrences of a specific word in the file.
62,coding,Implement a Python function to find the longest common subsequence of two input strings using dynamic programming.
63,coding,Implement a regular expression in Python to validate an email address.
64,coding,Write a program to find the nth Fibonacci number using dynamic programming.
65,coding,Implement a binary search algorithm to find a specific element in a sorted array.
66,coding,Implement a queue data structure using two stacks in Python.
67,coding,Implement a program to find the common elements in two arrays without using any extra data structures.
68,math,"Given that f(x) = 5x^3 - 2x + 3, find the value of f(2)."
69,math,Solve for x in the equation 3x + 10 = 5(x - 2).
70,math,"If the endpoints of a line segment are (2, -2) and (10, 4), what is the length of the segment?"
71,writing,Can you help me write a formal email to a potential business partner proposing a joint venture?
72,writing,"Can you help me write a resignation letter to my current employer, while leaving on good terms and expressing gratitude for the opportunities provided?"
73,writing,Use an appropriate format to structure a formal letter of recommendation for a student applying to a prestigious graduate program in computer science.
74,writing,Write a compelling product launch announcement email to inform our customers of our new software solution.
75,writing,"Draft an apology email to a customer who experienced a delay in their order, and provide reassurance that the issue has been resolved."
76,writing,Write a script for a YouTube video exploring the history and cultural significance of jazz.
77,writing,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions."
78,writing,"Write a captivating movie review for a recently released science fiction film, discussing its plot, characters, and special effects."
79,writing,Structure a podcast script for an episode discussing the influence of streaming platforms on the music industry.
80,writing,"Write a symphony concert review, discussing the orchestra's performance and overall audience experience."
